timestamp, temperature.gpu, temperature.memory, power.draw [W]
2026/06/03 09:50:10.454, 73, N/A, 182.50 W
2026/06/03 09:50:15.455, 73, N/A, 177.10 W
2026/06/03 09:50:20.455, 73, N/A, 185.39 W
2026/06/03 09:50:25.456, 73, N/A, 177.74 W
2026/06/03 09:50:30.456, 74, N/A, 170.67 W
2026/06/03 09:50:35.457, 73, N/A, 191.29 W
2026/06/03 09:50:40.457, 73, N/A, 190.07 W
2026/06/03 09:50:45.458, 73, N/A, 174.93 W
2026/06/03 09:50:50.458, 74, N/A, 177.98 W
2026/06/03 09:50:55.459, 75, N/A, 188.94 W
2026/06/03 09:51:00.459, 74, N/A, 175.10 W
2026/06/03 09:51:05.460, 73, N/A, 174.36 W
2026/06/03 09:51:10.460, 73, N/A, 172.70 W
2026/06/03 09:51:15.461, 73, N/A, 180.70 W
2026/06/03 09:51:20.461, 74, N/A, 179.51 W
2026/06/03 09:51:25.462, 73, N/A, 183.53 W
2026/06/03 09:51:30.463, 74, N/A, 174.03 W
2026/06/03 09:51:35.463, 74, N/A, 180.33 W
2026/06/03 09:51:40.464, 74, N/A, 175.91 W
2026/06/03 09:51:45.464, 73, N/A, 180.42 W
2026/06/03 09:51:50.465, 74, N/A, 180.19 W
2026/06/03 09:51:55.465, 73, N/A, 182.54 W
2026/06/03 09:52:00.466, 73, N/A, 170.80 W
2026/06/03 09:52:05.466, 73, N/A, 178.51 W
2026/06/03 09:52:10.467, 72, N/A, 173.50 W
2026/06/03 09:52:15.467, 74, N/A, 190.97 W
2026/06/03 09:52:20.467, 73, N/A, 172.33 W
2026/06/03 09:52:25.468, 74, N/A, 184.81 W
2026/06/03 09:52:30.468, 73, N/A, 177.01 W
2026/06/03 09:52:35.469, 73, N/A, 174.24 W
2026/06/03 09:52:40.469, 72, N/A, 178.54 W
2026/06/03 09:52:45.470, 73, N/A, 178.75 W
2026/06/03 09:52:50.470, 73, N/A, 175.16 W
2026/06/03 09:52:55.470, 74, N/A, 181.74 W
2026/06/03 09:53:00.471, 76, N/A, 188.33 W
2026/06/03 09:53:05.471, 74, N/A, 165.63 W
2026/06/03 09:53:10.472, 72, N/A, 189.48 W
2026/06/03 09:53:15.472, 73, N/A, 171.14 W
